station_nbr,date,tmax,tmin,tavg,dewpoint,wetbulb,heat,cool,codesum,snowfall,preciptotal,stnpressure,sealevel,resultspeed,resultdir,avgspeed
1,1/1/2012,52,31,42,36,40,23,0,RA FZFG BR,0,0.05,29.78,29.92,3.6,20,4.6
2,1/1/2012,48,33,41,37,39,24,0,RA,0,0.07,28.82,29.91,9.1,23,11.3
3,1/1/2012,55,34,45,24,36,20,0, ,0,0,29.77,30.47,9.9,31,10
4,1/1/2012,63,47,55,28,43,10,0, ,0,0,29.79,30.48,8,35,8.2
6,1/1/2012,63,34,49,31,43,16,0, ,0,0,29.95,30.47,14,36,13.8
7,1/1/2012,50,33,42,26,35,23,0, ,0,0,29.15,30.54,10.3,32,10.2
8,1/1/2012,66,45,55.744908,34,46,9.255092,0,RA BR,0,0,30.05,31.0143045,11,36,10.9
9,1/1/2012,34,19,27,17,23,38,0,UP,0,0.00001,29.34,30.09,22.8,30,22.5
10,1/1/2012,73,53,63,55,58,2,0,FG+ FG BR,0,0,30.16,30.19,5.1,24,5.5
11,1/1/2012,72,48,60,54,56,5,0,FG+ FG BR,0,0,30.15,30.18,4.6,23,4.8
12,1/1/2012,72,48,60,54,57,5,0,FG+ FG BR,0,0,30.15,30.19,4.4,25,4.8
13,1/1/2012,38,18,28,12,21,37,0, ,0,0,24.6,30.59,2.5,16,6.1
14,1/1/2012,50,34,42,25,35,23,0, ,0,0,29.13,30.52,11.4,32,11.3
15,1/1/2012,48,26,37,35,38,28,0,RA FG+ FZFG BR,0,0.09,29.53,29.89,2.5,17,3.8
16,1/1/2012,50,30,40,37,40,25,0,RA MIFG BR,0,0.00001,29.8,29.89,4.2,21,6.8
17,1/1/2012,56,38,47,23,37,18,0, ,0,0,29.83,30.5,5.4,32,5.8
18,1/1/2012,59,40,50,28,40,15,0, ,0,0,29.98,30.49,9,33,8.9
19,1/1/2012,38,25,32,26,30,33,0,RA SN BR,0.5,0.12,29.06,29.79,14.6,29,15.6
20,1/1/2012,59,41,50,28,40,15,0, ,0,0,29.78,30.48,10.9,33,10.8
1,1/2/2012,50,31,41,26,35,24,0, ,0,0.01,29.44,29.62,9.8,24,10.3
2,1/2/2012,46,28,37,24,32,28,0, ,0.00001,0.01,28.51,29.62,12.7,26,13.3
3,1/2/2012,45,24,35,11,28,30,0, ,0,0,29.89,30.63,7.7,32,8.2
4,1/2/2012,60,37,49,26,39,16,0, ,0,0,29.93,30.64,3.7,36,4.8
6,1/2/2012,60,30,45,27,38,20,0, ,0,0,30.09,30.63,9,1,9.3
7,1/2/2012,44,26,35,17,29,30,0, ,0,0,29.23,30.66,5.7,34,6.9
8,1/2/2012,59,36,47.744908,29,40,17.255092,0, ,0,0,30.25,31.2207225,6.2,36,6.7
9,1/2/2012,21,11,16,8,15,49,0,SN UP,0,0.00001,29.67,30.44,14.4,32,14.7
10,1/2/2012,65,45,55,33,46,10,0, ,0,0,30.11,30.14,10.2,30,11.2
11,1/2/2012,63,40,52,31,44,13,0, ,0,0,30.1,30.14,10.2,29,11.1
12,1/2/2012,65,47,56,33,46,9,0, ,0,0,30.09,30.14,11.7,30,12.7
13,1/2/2012,50,16,33,17,28,32,0, ,0,0,24.55,30.54,6.1,16,6.8
14,1/2/2012,45,26,36,16,29,29,0, ,0,0,29.21,30.65,6.3,35,7.4
15,1/2/2012,43,29,36,24,32,29,0,BR,0,0.02,29.2,29.58,7.1,24,8.1
16,1/2/2012,50,30,40,26,35,25,0,RA,0,0.01,29.48,29.59,9.6,27,10.9
